region_index,mean,std
1,-5.083469053109486e-10,1.0000000002144993
2,1.7413791889945666e-10,0.9999999942650253
3,-1.4668330550193786e-09,0.9999999994208124
4,1.438699352244536e-09,0.9999999984526484
5,-1.9451060021917026e-10,0.9999999982072614
6,2.7551626165707906e-10,0.9999999978698089
7,8.355376242737596e-10,0.9999999966823835
8,4.928248624006907e-10,0.9999999983099719
9,-2.052790174881617e-09,1.0000000019564634
10,4.040581795076529e-10,1.000000004214994
11,-1.7966764668623607e-09,0.9999999999217929
12,-1.6589183360338211e-09,1.0000000009230192
13,1.0128132998943328e-09,1.0000000019759545
14,3.492459654808044e-11,0.9999999994393498
15,3.880510727564494e-12,0.9999999970763589
16,-1.8568243831396102e-09,0.9999999975496261
17,-1.1951973040898642e-09,0.9999999988379924
18,-5.044663945833842e-10,1.0000000074412878
19,5.471520125865936e-10,0.9999999955684761
20,5.393909911314647e-10,1.000000000114095
21,3.7204396600524584e-10,1.0000000032350087
22,-7.877436776955922e-10,0.9999999995251506
23,5.161079267660777e-10,0.999999996037849
24,-2.5781143146256604e-09,1.0000000008159033
25,-2.2262004980196554e-09,1.000000004285052
26,-1.6733489853019515e-09,1.0000000002925498
27,1.2873594338695209e-09,1.0000000044642372
28,-3.845586131016413e-09,0.999999999272685
29,-2.3365525218347708e-09,0.9999999977965468
30,2.2012197102109593e-09,0.9999999924006839
31,-5.587935447692871e-10,0.9999999916815145
32,5.447266933818658e-10,0.9999999981592954
33,4.6044685101757446e-10,0.9999999984442766
34,1.1253481109937032e-10,0.9999999973547666
35,3.977523495753606e-10,1.0000000008603778
36,-1.5231004605690638e-10,0.9999999975496524
37,1.3217989665766556e-09,1.000000000843679
38,1.1719142397244771e-09,1.0000000014881378
39,1.9072710225979487e-09,1.0000000009112389
40,6.28642737865448e-10,0.9999999993845837
41,2.733819807569186e-09,0.9999999976248195
42,-1.3232541580994924e-09,1.0000000010332395
43,2.5883006552855175e-09,0.9999999928324107
44,6.878205264608065e-10,1.0000000001484441
45,-1.7277974014480909e-09,1.0000000009741403
46,7.07223080098629e-10,1.0000000013777837
47,2.444721758365631e-09,1.0000000009127823
48,-2.200249582529068e-09,0.9999999998126162
49,7.693112517396609e-10,1.0000000016163906
50,-9.105860954150558e-10,0.9999999962825042
51,1.563845823208491e-09,0.9999999957160985
52,-2.9278453439474104e-09,0.9999999972002176
53,-2.3283064365386964e-11,1.0000000016081116
54,6.655075897773107e-10,0.999999999642949
55,-1.5609354401628176e-09,1.000000002313737
56,2.735760062932968e-09,1.0000000026061178
57,2.256516988078753e-09,0.9999999992795546
58,-2.041148642698924e-09,0.9999999957914915
59,-1.3659397761027017e-09,1.000000000867326
60,-4.423782229423523e-10,0.9999999977616592
61,-3.348880757888158e-09,0.9999999982172033
62,-2.4059166510899864e-10,0.999999997001909
63,-2.8667272999882697e-10,0.9999999985178489
64,2.444721758365631e-09,1.000000001385364
65,-3.8611081739266716e-10,0.9999999980413615
66,1.1141916426519552e-09,0.9999999964955237
67,1.187436282634735e-09,1.0000000036628383
68,6.577465683221817e-10,1.0000000008328713
69,1.4260876923799515e-09,1.0000000012477812
70,-1.7656323810418446e-10,0.9999999963518676
71,1.3329554349184035e-09,1.0000000004907603
72,1.7966764668623607e-09,0.9999999975553292
73,1.3339255626002947e-10,1.0000000028562157
74,6.984919309616089e-11,1.0000000001918905
75,2.1536834537982942e-10,0.9999999970062348
76,-1.6627988467613856e-09,1.000000003489518
77,3.6602917437752088e-09,1.0000000054651392
78,1.3950436065594354e-09,0.9999999973041994
79,2.4844818350781376e-09,1.000000004562613
80,-2.090625154475371e-10,1.000000000966271
81,-1.0863004717975856e-09,0.999999999022441
82,-1.2437036881844203e-09,0.9999999980596902
83,-1.2592257310946782e-09,1.0000000019128745
84,1.5522042910257975e-11,1.0000000024253914
85,-5.587935447692871e-10,1.000000000936083
86,8.618371794000268e-10,1.000000000410971
87,6.596868236859639e-11,1.0000000036230579
88,1.743016279457758e-09,1.0000000018834025
89,2.425319204727809e-10,0.9999999979740587
90,-1.1602727075417837e-09,1.0000000005763943
91,-6.732686112324397e-10,1.000000003779916
92,1.9499566406011582e-10,1.0000000002732503
93,-7.765872093538443e-10,1.0000000018077941
94,-3.6767839143673578e-09,1.000000000104495
95,1.2922100722789764e-09,1.000000001163428
96,2.2506962219874064e-10,1.0000000016633113
97,1.4241474370161691e-09,1.0000000043514141
98,1.674440378944079e-09,1.0000000015230672
99,-1.4163864155610402e-09,1.0000000020129847
100,-4.2258761823177334e-09,0.9999999999841028
